Symbol,Buy,Sell,Net,Timestamp
GOOG,19935800.0,0.0,19935800.0,2025-10-05 15:33:44
GC=F,0.0,0.0,0.0,2025-10-05 15:33:44
CL=F,0.0,0.0,0.0,2025-10-05 15:33:44
TSLA,0.0,132772600.0,-132772600.0,2025-10-05 15:33:44
NVDA,0.0,137340500.0,-137340500.0,2025-10-05 15:33:44
BTC/USDT,1675.1905543000003,1860.8074717599998,-185.6169174599995,2025-10-05 15:36:34
ETH/USDT,51593.17889939599,58409.210181064,-6816.031281668009,2025-10-05 15:36:34
BNB/USDT,1764.2058264860002,1857.3316843240002,-93.125857838,2025-10-05 15:36:34
XRP/USDT,6086664.542012081,6190203.482368119,-103538.94035603851,2025-10-05 15:36:34
SOL/USDT,89379.61667218801,85833.985187752,3545.6314844360168,2025-10-05 15:36:34
DOGE/USDT,21351553.366568856,24196750.856729142,-2845197.4901602864,2025-10-05 15:36:34
ADA/USDT,7709237.971390531,7904939.322085799,-195701.35069526732,2025-10-05 15:36:34
TRX/USDT,2645559.3720000004,2830824.6979999994,-185265.32599999895,2025-10-05 15:36:34
AVAX/USDT,84784.09882119199,103616.78543178798,-18832.686610595993,2025-10-05 15:36:34
DOT/USDT,159039.76252000002,167286.02477999998,-8246.26225999996,2025-10-05 15:36:34
LINK/USDT,135607.43809998,141379.59514997,-5772.157049989997,2025-10-05 15:36:34
SUI/USDT,1001142.7961438519,1020199.594215778,-19056.79807192611,2025-10-05 15:36:34
SHIB/USDT,133622534177.72836,118483141151.7389,15139393025.989456,2025-10-05 15:36:34
LTC/USDT,46438.2702,55291.87279999999,-8853.602599999991,2025-10-05 15:36:34
ATOM/USDT,54851.07369999999,48634.0876,6216.986099999995,2025-10-05 15:36:34
XLM/USDT,2259066.99,2686709.63,-427642.63999999966,2025-10-05 15:36:34
UNI/USDT,157667.57345999999,181137.77724,-23470.20378000001,2025-10-05 15:36:34
ICP/USDT,46278.633819999995,46473.24918,-194.61536000000342,2025-10-05 15:36:34
APT/USDT,202800.66954700797,162746.287020512,40054.38252649596,2025-10-05 15:36:34
NEAR/USDT,779334.2403399999,787633.19896,-8298.958620000049,2025-10-05 15:36:34
AAPL,49107000.0,0.0,49107000.0,2025-10-05 15:36:34
MSFT,15104200.0,0.0,15104200.0,2025-10-05 15:36:34
GOOG,19935800.0,0.0,19935800.0,2025-10-05 15:36:34
GC=F,0.0,0.0,0.0,2025-10-05 15:36:34
CL=F,0.0,0.0,0.0,2025-10-05 15:36:34
TSLA,0.0,132772600.0,-132772600.0,2025-10-05 15:36:34
NVDA,0.0,137340500.0,-137340500.0,2025-10-05 15:36:34
BTC/USDT,1447.481099218,1730.3149945919997,-282.83389537399967,2025-10-05 16:18:46
ETH/USDT,45443.73811684,55136.52241016,-9692.78429332,2025-10-05 16:18:46
BNB/USDT,1564.0807219759997,1768.067747984,-203.98702600800038,2025-10-05 16:18:46
XRP/USDT,5288699.6597920805,5718527.018488118,-429827.3586960379,2025-10-05 16:18:46
SOL/USDT,80462.01329693402,78225.85827091601,2236.1550260180084,2025-10-05 16:18:46
DOGE/USDT,17639271.259628855,21868582.878369145,-4229311.61874029,2025-10-05 16:18:46
ADA/USDT,6648555.105390532,7466552.438085798,-817997.3326952662,2025-10-05 16:18:46
TRX/USDT,2469037.464,2832608.996,-363571.53199999966,2025-10-05 16:18:46
AVAX/USDT,73384.684521192,96724.215231788,-23339.530710595995,2025-10-05 16:18:46
DOT/USDT,138908.75808,154786.73052,-15877.972440000012,2025-10-05 16:18:46
LINK/USDT,118541.18561998002,132191.25512997,-13650.069509989975,2025-10-05 16:18:46
SUI/USDT,833789.5761438521,942196.914215778,-108407.33807192591,2025-10-05 16:18:46
SHIB/USDT,129040696984.74374,113580772775.52365,15459924209.220093,2025-10-05 16:18:46
LTC/USDT,43179.38679999999,49666.43819999999,-6487.051399999997,2025-10-05 16:18:46
ATOM/USDT,46942.42443999999,43361.65476,3580.7696799999903,2025-10-05 16:18:46
XLM/USDT,1977358.324,2506696.1259999997,-529337.8019999997,2025-10-05 16:18:46
UNI/USDT,150559.04746,174353.56984,-23794.52238000001,2025-10-05 16:18:46
ICP/USDT,40821.360179999996,43949.95252,-3128.592340000003,2025-10-05 16:18:46
APT/USDT,172407.523747008,142484.189820512,29923.33392649601,2025-10-05 16:18:46
NEAR/USDT,713642.8308399998,752401.49046,-38758.659620000166,2025-10-05 16:18:46
AAPL,49107000.0,0.0,49107000.0,2025-10-05 16:18:46
MSFT,15104200.0,0.0,15104200.0,2025-10-05 16:18:46
GOOG,19935800.0,0.0,19935800.0,2025-10-05 16:18:46
GC=F,0.0,0.0,0.0,2025-10-05 16:18:46
CL=F,0.0,0.0,0.0,2025-10-05 16:18:46
TSLA,0.0,132772600.0,-132772600.0,2025-10-05 16:18:46
NVDA,0.0,137340500.0,-137340500.0,2025-10-05 16:18:46
